name	domain	country
High Technology School in Morocco 	http://www.hightech.edu/	MA
Université de la Formation Continue 	http://www.ufc.dz/	DZ
École Polytechnique de Tunisie 	http://www.ept.rnu.tn/	TN
Neelain University 	http://www.neelain.edu.sd/	SD
(3) Université Hassan II Mohammedia Faculté des Sciences et Techniques Mohammadia 	http://www.fstm.ac.ma/	MA
Faculté de Medécine de Tunis 	http://www.fmt.rnu.tn/	TN
(3) Université Mohammed V Souissi Faculté des Sciences de l'Education Rabat 	http://www.fse.ac.ma/	MA
University of Tripoli (Al Fateh University) 	http://www.uot.edu.ly/	LY
Institut National Agronomique 	http://www.ina.dz/	DZ
Saint Augustine University of Tanzania 	http://www.saut.ac.tz/	TZ
University of the Gambia 	http://www.unigambia.gm/	GM
(3) Université Hassan II Ain Chock Faculté de Medécine Dentaire 	http://www.fmd-uh2c.ac.ma/	MA
(3) Université Ibnou Zohr Faculté des Sciences d'Agadir 	http://www.fsa.ac.ma/	MA
University of Eastern Africa Baraton 	http://ueab.ac.ke/	KE
Future University 	http://www.futureuniversity.edu.eg/	EG
Mount Kenya University 	http://www.mku.ac.ke/	KE
École Supérieure des Arts Visuels Privée 	http://www.esavmarrakech.com/	MA
Kyambogo University 	http://www.kyu.ac.ug/	UG
Université Ziane Achour de Djelfa 	http://www.univ-djelfa.dz/	DZ
Université de Djibouti 	http://www.univ.edu.dj/	DJ
(3) University of Malawi The Polytechnic 	http://www.poly.ac.mw/	MW
Abubakar Tafawa Balewa University 	http://www.atbu.edu.ng/	NG
Dar Es Salaam Institute of Technology 	http://www.dit.ac.tz/	TZ
École Nationale d'Administration de Rabat 	http://w3.ena.ac.ma/	MA
Centre Africain d'Études Supérieures en Gestión Senegal 	http://www.cesag.sn/	SN
Sinai University 	http://www.su.edu.eg/	EG
Caritas University Enugu 	http://www.caritasuni.edu.ng/	NG
Kigali Institute of Education 	http://www.kie.ac.rw/	RW
Bowen University 	http://bowenuniversity-edu.org/	NG
Ebonyi State University 	http://www.ebsu-edu.net/	NG
Université Omar Bongo 	http://www.uob.ga/	GA
Saint Christopher Iba Mar Diop College of Medicine 	http://www.stchris.edu/	SN
Pan African University Lagos 	http://www.pau.edu.ng/	NG
Université Ezzitouna 	http://www.uz.rnu.tn/	TN
Ardhi University 	http://www.aru.ac.tz/	TZ
University of Liberia 	http://www.universityliberia.org/	LR
École Nationale Supérieure de l'Hydraulique de Blida 	http://www.ensh.dz/	DZ
Mount Meru University 	http://www.mmu.ac.tz/	TZ
Kabarak University 	http://www.kabarak.ac.ke/	KE
University of Burao 	http://www.buraouniversity.com/	SO
École des Hautes Études Commerciales du Maroc HEC 	http://www.hec.ac.ma/	MA
Port Said University 	http://www.psu.edu.eg/	EG
International Academy of Media Science 	http://www.iams.edu.eg/	EG
(1) Africa International University (Nairobi Evangelical Graduate School of Theology) 	http://www.africaInternational.edu/	KE
Busitema University 	http://busitema.ac.ug/	UG
Universidade Agostinho Neto 	http://www.uan.ao/	AO
Faculté des Sciences de Tunis 	http://www.fst.rnu.tn/	TN
Osun State University 	http://www.uniosun.edu.ng/	NG
Egypt Japan University of Science & Technology 	http://www.ejust.edu.eg/	EG
École Centrale Privée des Sciences Médicales et de la Santé 	http://www.centralesante.tn/	TN
Centre Universitaire d'El Tarf 	http://www.cuniv-eltaref.edu.dz/	DZ
École Nationale d'Administration Algeria 	http://www.ena.dz/	DZ
Chinhoyi University of Technology 	http://www.cut.ac.zw/	ZW
(3) Université Hassan I Settat Faculté des Sciences et Techniques de Settat 	http://www.fsts.ac.ma/	MA
École Royale de l'Air 	http://www.cpge.ma/	MA
Université Cadi Ayyad Marrakech 	http://www.uca.ma/	MA
Institut des Hautes Etudes en Paramédical du Sud IHEPS 	http://www.iheps.ac.ma/	MA
(3) Université Hassan II Ain Chock École Supérieure de Technologie de Casablanca 	http://www.est-uh2c.ac.ma/	MA
Kigali Institute of Health 	http://www.khi.ac.rw/	RW
Open University of Sudan 	http://www.ous.edu.sd/	SD
Université des Montagnes  	http://www.udesmontagnes.org/	CM
Benue State University 	http://www.bsum.edu.ng/	NG
(3) Universite Sidi Mohammed Ben Abdellah Faculté des Lettres et des Sciences Humaines Dhar El Mehraz Fes 	http://www.fldm-usmba.ac.ma/	MA
Modern University for Technology and Information 	http://www.mti.edu.eg/	EG
Uganda Martyrs University 	http://www.umu.ac.ug/	UG
Islamic University in Uganda 	http://www.iuiu.ac.ug/	UG
(3) Université Mohammed V Agdal Faculté des Lettres et des Sciences Humaines Rabat 	http://www.flshr.ac.ma/	MA
(3) Université Moulay Ismail École Nationale Supérieure d'Arts et Métiers Meknès 	http://www.ensam-umi.ac.ma/	MA
École Supérieure de Banque 	http://www.esb.edu.dz/	DZ
Ahram Canadian University 	http://www.acu.edu.eg/	EG
Université du Burundi 	http://www.ub.edu.bi/	BI
Enugu State University of Science and Technology 	http://www.esut.edu.ng/	NG
École Supérieure de Commerce Alger 	http://www.esc-alger.com/	DZ
Damanhour University 	http://www.damanhour.edu.eg/	EG
(3) Université Hassan II Aïn Chock École Nationale Supérieure d'Electricite et de Mécanique 	http://www.ensem.ac.ma/	MA
International Medical & Technological University 	http://www.imtu.edu/	TZ
Institut Supérieur de la Magistrature 	http://www.ism.ma/	MA
Institut Supérieur de Commerce et d'Administration des Entreprises ISCAE 	http://www.groupeiscae.ma/	MA
École Nationale des Sciences de l'Informatique 	http://www.ensi.rnu.tn/	TN
Mangosuthu University of Technology (Technikon) 	http://www.mut.ac.za/	ZA
Kenia Institute of Management 	http://www.kim.ac.ke/	KE
École de Gouvernance et d'Economie de Rabat EGE 	http://www.egerabat.com/	MA
Université de Kairouan 	http://www.univ-k.rnu.tn/	TN
Institut National d'Amenagement et d'Urbanisme Maroc 	http://www.inau.ac.ma/	MA
Trustech Institute of Technology 	http://www.trustech.org/	CM
University Centre for Studies in Namibia 	http://www.tucsin.org/	NA
Institut Supérieur de l'Information et de la Communication 	http://www.isic.ma/	MA
Centre Universitaire de Souk Ahras 	http://www.cu-soukahras.dz/	DZ
Lagos State Polytechnic 	http://www.laspotech.net/	NG
École Supérieure de Commerce et de Management ESCM 	http://www.escm.ma/	MA
École Normale Supérieure de Kouba 	http://www.ens-kouba.dz/	DZ
Tumaini University Makumira University College 	http://www.makumira.ac.tz/	TZ
Saint John's University of Tanzania 	http://www.sjut.ac.tz/	TZ
Kenya Medical Training College 	http://www.kmtc.ac.ke/	KE
(3) Université Moulay Ismail École Supérieure de Technologie Meknès 	http://www.est-umi.ac.ma/	MA
Igbinedion University Okada 	http://www.iuokada.edu.ng/	NG
Carthage Institut des Hautes Etudes Commerciale 	http://www.ihec.rnu.tn/	TN
École Normale Supérieur en Lettres et Sciences Humaines Bouzareah 	http://www.ensb.dz/	DZ
École Marocaine des Sciences de l’Ingenieur 	http://www.emsi.ma/	MA
Mzuzu University 	http://www.mzuni.ac.mw/	MW
Crawford University Igbesa 	http://www.crawforduniversity.edu.ng/	NG
University of Mines & Technology Tarkwa 	http://umat.edu.gh/	GH
Al Zaiem Al Azhari University 	http://www.aau.edu.sd/	SD
Institut Supérieur du Génie Appliqué IGA 	http://www.iga.ma/	MA
Université de Jendouba 	http://www.uj.rnu.tn/	TN
International Institute for Higher Education in Morocco IIHEM 	http://www.iihem.ac.ma/	MA
Institute of Accountancy Arusha 	http://www.iaa.ac.tz/	TZ
Bugema University 	http://www.bugemauniv.ac.ug/	UG
Ghana Telecom University College 	http://www.gtuc.edu.gh/	GH
